name,ra,dec,time,obsid,exposure,processing_status,processing_date,public_date,obs_type
MAXI_J1820+070,18 20 21.86,+07 11 06.2,2018-06-07 4:30:07,1200120172,2681.46386,VALIDATED,2018-06-11 20:06:08,2018-06-21,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 06.4,2018-06-08 6:46:42,1200120173,3285,VALIDATED,2018-06-12 16:31:25,2018-06-22,DDT_TOO
MAXI_J1820+070,18 20 21.84,+07 11 05.9,2018-06-09 6:16:20,1200120174,2698,VALIDATED,2018-06-13 18:40:43,2018-06-23,DDT_TOO
MAXI_J1820+070,18 20 21.84,+07 11 05.8,2018-06-10 3:54:00,1200120175,2251,VALIDATED,2018-06-14 17:02:53,2018-06-24,DDT_TOO
MAXI_J1820+070,18 20 21.86,+07 11 06.3,2018-06-11 2:52:34,1200120176,5963,VALIDATED,2018-06-14 18:15:33,2018-06-25,DDT_TOO
MAXI_J1820+070,18 20 21.82,+07 11 06.0,2018-06-12 3:44:20,1200120177,902,VALIDATED,2018-06-25 15:33:09,2018-06-26,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 04.0,2018-06-13 8:47:45,1200120178,2624.7161,VALIDATED,2018-06-25 18:30:47,2018-06-27,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 05.9,2018-06-14 9:31:05,1200120179,1248.19984,VALIDATED,2018-06-22 19:22:48,2018-06-28,DDT_TOO
MAXI_J1820+070,18 20 21.86,+07 11 05.3,2018-06-15 5:36:25,1200120180,2246,VALIDATED,2018-06-22 21:57:07,2018-06-29,DDT_TOO
MAXI_J1820+070,18 20 22.58,+07 10 52.0,2018-06-16 0:27:17,1200120181,407,VALIDATED,2018-06-21 3:15:11,2018-06-30,DDT_TOO
MAXI_J1820+070,18 20 21.67,+07 10 53.5,2018-06-17 10:08:40,1200120182,1896,VALIDATED,2018-06-23 0:01:12,2018-07-01,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 05.9,2018-06-18 12:46:40,1200120183,904,VALIDATED,2018-06-23 1:26:58,2018-07-02,DDT_TOO
MAXI_J1820+070,18 20 22.90,+07 11 03.1,2018-06-19 15:02:32,1200120184,832.34083,VALIDATED,2018-06-25 20:15:02,2018-07-03,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 05.9,2018-06-20 1:41:20,1200120185,2507.62325,VALIDATED,2018-06-25 20:54:39,2018-07-04,DDT_TOO
MAXI_J1820+070,18 20 22.27,+07 11 05.9,2018-06-23 2:13:40,1200120186,2221,VALIDATED,2018-07-13 2:30:43,2018-07-07,DDT_TOO
MAXI_J1820+070,18 20 22.99,+07 11 07.6,2018-06-24 9:23:00,1200120187,1399,VALIDATED,2018-06-28 17:38:42,2018-07-08,DDT_TOO
MAXI_J1820+070,18 20 22.42,+07 11 01.8,2018-06-27 9:40:00,1200120188,1935,VALIDATED,2018-07-01 19:09:50,2018-07-11,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 05.5,2018-06-28 4:29:40,1200120189,16706.71323,VALIDATED,2018-07-02 21:33:13,2018-07-12,DDT_TOO
MAXI_J1820+070,18 20 22.49,+07 11 04.3,2018-06-29 0:34:41,1200120190,2875.7084,VALIDATED,2018-07-03 18:25:21,2018-07-13,DDT_TOO
MAXI_J1820+070,18 20 22.01,+07 11 06.9,2018-06-30 17:57:17,1200120191,989,VALIDATED,2018-07-04 17:37:04,2018-07-14,DDT_TOO
MAXI_J1820+070,18 20 22.06,+07 11 06.5,2018-07-01 12:29:16,1200120192,1006.85226,VALIDATED,2018-07-05 20:09:54,2018-07-15,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 06.7,2018-07-02 7:01:15,1200120193,590,VALIDATED,2018-07-06 20:22:16,2018-07-16,DDT_TOO
